Epoch: 0, d_loss= 0.863934, g_loss= 65.098770, D(X)= -0.024572, D(G(X))= -0.068303, wrong score: -0.024528
Epoch: 1, d_loss= 0.426349, g_loss= 57.977631, D(X)= 0.419532, D(G(X))= 0.016343, wrong score: 0.423782
Epoch: 2, d_loss= 0.412341, g_loss= 53.741234, D(X)= 0.440658, D(G(X))= 0.041162, wrong score: 0.436406
Epoch: 3, d_loss= 0.412615, g_loss= 51.328384, D(X)= 0.436020, D(G(X))= 0.077236, wrong score: 0.430816
Epoch: 4, d_loss= 0.416002, g_loss= 50.508839, D(X)= 0.441608, D(G(X))= 0.091253, wrong score: 0.439459
Epoch: 5, d_loss= 0.411856, g_loss= 50.136288, D(X)= 0.443269, D(G(X))= 0.084817, wrong score: 0.439546
Epoch: 6, d_loss= 0.415402, g_loss= 49.477821, D(X)= 0.438148, D(G(X))= 0.087920, wrong score: 0.437513
Epoch: 7, d_loss= 0.416038, g_loss= 48.975128, D(X)= 0.435691, D(G(X))= 0.079466, wrong score: 0.437602
Epoch: 8, d_loss= 0.417311, g_loss= 48.969830, D(X)= 0.439310, D(G(X))= 0.082595, wrong score: 0.441771
Epoch: 9, d_loss= 0.415041, g_loss= 48.740425, D(X)= 0.438556, D(G(X))= 0.083629, wrong score: 0.438582
Epoch: 10, d_loss= 0.415520, g_loss= 48.604538, D(X)= 0.447597, D(G(X))= 0.078845, wrong score: 0.448361
Epoch: 11, d_loss= 0.416125, g_loss= 48.517281, D(X)= 0.444498, D(G(X))= 0.074302, wrong score: 0.445522
Epoch: 12, d_loss= 0.417456, g_loss= 47.988392, D(X)= 0.442625, D(G(X))= 0.083994, wrong score: 0.442474
Epoch: 13, d_loss= 0.418512, g_loss= 47.674622, D(X)= 0.425290, D(G(X))= 0.081138, wrong score: 0.423431
Epoch: 14, d_loss= 0.425596, g_loss= 47.099335, D(X)= 0.448270, D(G(X))= 0.089976, wrong score: 0.452080
Epoch: 15, d_loss= 0.447866, g_loss= 47.318451, D(X)= 0.544483, D(G(X))= 0.143489, wrong score: 0.540821
Epoch: 16, d_loss= 0.439774, g_loss= 46.436237, D(X)= 0.356584, D(G(X))= 0.101543, wrong score: 0.355283
Epoch: 17, d_loss= 0.424761, g_loss= 46.403877, D(X)= 0.425510, D(G(X))= 0.089333, wrong score: 0.424099
Epoch: 18, d_loss= 0.427688, g_loss= 47.451180, D(X)= 0.475420, D(G(X))= 0.115167, wrong score: 0.470019
Epoch: 19, d_loss= 0.472169, g_loss= 46.142197, D(X)= 0.538366, D(G(X))= 0.178876, wrong score: 0.546283
Epoch: 20, d_loss= 0.434179, g_loss= 45.806412, D(X)= 0.463712, D(G(X))= 0.120062, wrong score: 0.466807
Epoch: 21, d_loss= 0.422099, g_loss= 45.791145, D(X)= 0.431019, D(G(X))= 0.064497, wrong score: 0.427924
Epoch: 22, d_loss= 0.475260, g_loss= 45.938736, D(X)= 0.411848, D(G(X))= 0.242244, wrong score: 0.412599
Epoch: 23, d_loss= 0.444772, g_loss= 45.565727, D(X)= 0.440269, D(G(X))= 0.119054, wrong score: 0.449172
Epoch: 24, d_loss= 0.426009, g_loss= 45.686325, D(X)= 0.450189, D(G(X))= 0.095924, wrong score: 0.447847
Epoch: 25, d_loss= 0.568889, g_loss= 45.364822, D(X)= 0.179558, D(G(X))= -0.087429, wrong score: 0.177858
Epoch: 26, d_loss= 0.490721, g_loss= 47.954330, D(X)= 0.372775, D(G(X))= 0.260933, wrong score: 0.372737
Epoch: 27, d_loss= 0.434431, g_loss= 45.575642, D(X)= 0.428953, D(G(X))= 0.143969, wrong score: 0.428087
Epoch: 28, d_loss= 0.465795, g_loss= 45.384995, D(X)= 0.297543, D(G(X))= -0.007995, wrong score: 0.302533
Epoch: 29, d_loss= 0.586591, g_loss= 45.644447, D(X)= 0.544901, D(G(X))= 0.397788, wrong score: 0.544796
